id_producto,nombre,categoria,subcategoria,marca,precio_lista,costo_unitario,fecha_alta
P0265,Lavavajillas Nuna Eco 16,Limpieza,Lavavajillas,Nuna,5.34,3.23,2020-04-07
P0266,Harinas y azúcar Chaska Max 13,Abarrotes,Harinas y azúcar,Chaska,45.97,30.11,2022-10-05
P0267,Decoración Wayra Max 95,Hogar,Decoración,Wayra,125.92,85.38,2020-02-13
P0268,Textil hogar Runa Clásico 22,Hogar,Textil hogar,Runa,22.64,16.27,2021-10-24
P0269,Licuadoras Inti Familiar 83,Electrohogar,Licuadoras,Inti,443.57,351.25,2020-06-24
P0270,Lavavajillas Andes Premium 82,Limpieza,Lavavajillas,,39.33,24.12,2018-08-19
P0271,Afeitado Sami Premium 90,Cuidado Personal,Afeitado,Sami,18.44,11.08,2021-08-20
P0272,Snacks Chaska Clásico 84,Abarrotes,Snacks,Chaska,5.52,3.79,2019-10-27
P0273,Harinas y azúcar Pacífico Lite 60,Abarrotes,Harinas y azúcar,Pacífico,5.19,3.21,2022-10-23
P0274,Vinos y licores Sami Max 94,Bebidas,Vinos y licores,Sami,17.82,12.33,2022-02-07
P0275,Vinos y licores Inti Clásico 49,Bebidas,Vinos y licores,Inti,40.04,27.94,2019-01-27
P0276,Licuadoras Chaska Eco 83,Electrohogar,Licuadoras,,1458.59,881.86,2021-12-16
P0277,Arroz y menestras Inti Max 63,Abarrotes,Arroz y menestras,Inti,11.35,6.89,2019-12-14
P0278,Snacks Runa Premium 38,Abarrotes,Snacks,Runa,7.84,5.96,2022-07-25
P0279,Cuidado de piel Sami Lite 56,Cuidado Personal,Cuidado de piel,Sami,9.7,6.96,2020-12-13
P0280,Decoración Kusi Familiar 46,Hogar,Decoración,Kusi,324.92,247.74,2020-01-22
P0281,Decoración Killa Eco 66,Hogar,Decoración,Killa,15.63,11.87,2021-01-12
P0282,Televisores Andes Familiar 15,Electrohogar,Televisores,Andes,868.17,532.46,2021-10-02
P0283,Decoración Qori Lite 29,Hogar,Decoración,Qori,16.55,13.03,2019-01-11
P0284,Papel higiénico Inti Clásico 85,Limpieza,Papel higiénico,Inti,14.27,9.16,2021-04-17
P0285,Refrigeración Nuna Familiar 23,Electrohogar,Refrigeración,Nuna,194.63,128.08,2019-01-21
P0286,Jugos Yachay Eco 35,Bebidas,Jugos,,2.61,1.74,2019-02-02
P0287,Aguas Kusi Familiar 30,Bebidas,Aguas,Kusi,2.42,1.48,2020-02-10
P0288,Organización Yachay Lite 86,Hogar,Organización,Yachay,180.97,136.16,2021-06-04
P0289,Papel higiénico Chaska Premium 80,Limpieza,Papel higiénico,Chaska,26.74,17.73,2021-06-16
P0290,Lavado Qori Eco 66,Electrohogar,Lavado,Qori,1858.69,1459.7,2018-08-28
P0291,Detergentes Tika Lite 5,Limpieza,Detergentes,Tika,12.58,9.77,2021-02-10
P0292,Snacks Sami Max 73,Abarrotes,Snacks,Sami,4.85,3.46,2020-02-13
P0293,Snacks Runa Familiar 34,Abarrotes,Snacks,Runa,5.97,3.83,2020-03-30
P0294,Papel higiénico Killa Clásico 49,Limpieza,Papel higiénico,Killa,23.01,13.92,2019-08-06
P0295,Afeitado Runa Max 77,Cuidado Personal,Afeitado,Runa,12.26,8.3,2020-05-29
P0296,Televisores Andes Familiar 23,Electrohogar,Televisores,Andes,1058.7,682.93,2019-07-05
P0297,Energizantes Kusi Familiar 88,Bebidas,Energizantes,Kusi,19.54,14.96,2019-02-01
P0298,Fideos y pastas Wayra Max 91,Abarrotes,Fideos y pastas,Wayra,4.3,2.78,2020-12-14
P0299,Lavavajillas Nuna Familiar 50,Limpieza,Lavavajillas,Nuna,8.54,5.71,2021-06-26
P0300,Harinas y azúcar Runa Eco 28,Abarrotes,Harinas y azúcar,Runa,22.0,15.28,2022-09-15
P0301,Energizantes Wayra Max 18,Bebidas,Energizantes,Wayra,2.43,1.56,2021-08-01
P0302,Jabones Qori Eco 25,Cuidado Personal,Jabones,Qori,46.58,29.17,2020-04-20
P0303,Aguas Misti Eco 79,Bebidas,Aguas,Misti,2.88,2.09,2019-09-01
P0304,Ambientadores Yachay Max 9,Limpieza,Ambientadores,Yachay,28.38,18.04,2019-03-10
P0305,Fideos y pastas Runa Premium 1,Abarrotes,Fideos y pastas,Runa,17.65,11.82,2018-08-19
P0306,Aceites Nuna Lite 8,Abarrotes,Aceites,Nuna,21.67,13.02,2019-10-07
P0307,Refrigeración Inti Max 97,Electrohogar,Refrigeración,Inti,1198.88,935.97,2020-08-31
P0308,Desinfectantes Kusi Lite 21,Limpieza,Desinfectantes,Kusi,15.38,11.44,2019-09-15
P0309,Muebles pequeños Runa Max 23,Hogar,Muebles pequeños,Runa,39.9,28.71,2019-12-07
P0310,Organización Misti Premium 3,Hogar,Organización,Misti,43.3,28.52,2022-09-30
P0311,Harinas y azúcar Runa Lite 92,Abarrotes,Harinas y azúcar,,19.84,14.38,2021-03-07
P0312,Aguas Tika Premium 67,Bebidas,Aguas,Tika,59.31,46.69,2022-04-12
P0313,Lavavajillas Nuna Lite 10,Limpieza,Lavavajillas,Nuna,5.35,3.89,2020-12-31
P0314,Harinas y azúcar Qori Lite 34,Abarrotes,Harinas y azúcar,Qori,6.68,5.11,2021-06-07
P0315,Arroz y menestras Chaska Familiar 65,Abarrotes,Arroz y menestras,Chaska,12.82,8.83,2022-10-28
P0316,Hervidores Inti Familiar 19,Electrohogar,Hervidores,Inti,1146.27,886.66,2020-10-28
P0317,Lavado Tika Familiar 62,Electrohogar,Lavado,Tika,890.86,663.0,2019-09-18
P0318,Aguas Andes Premium 11,Bebidas,Aguas,Andes,6.78,4.7,2021-05-10
P0319,Jabones Tika Clásico 40,Cuidado Personal,Jabones,Tika,47.83,29.64,2021-11-25
P0320,Lavavajillas Sami Premium 21,Limpieza,Lavavajillas,Sami,56.81,35.71,2019-12-12
P0321,Refrigeración Sami Max 69,Electrohogar,Refrigeración,Sami,1116.31,761.38,2021-06-20
P0322,Cervezas Puma Norte Max 86,Bebidas,Cervezas,Puma Norte,2.61,1.95,2018-07-30
P0323,Detergentes Chaska Premium 67,Limpieza,Detergentes,Chaska,56.54,41.85,2022-11-25
P0324,Organización Kusi Max 36,Hogar,Organización,Kusi,569.98,433.47,2020-08-18
P0325,Licuadoras Andes Lite 88,Electrohogar,Licuadoras,Andes,926.97,605.8,2022-11-12
P0326,Energizantes Pacífico Premium 74,Bebidas,Energizantes,Pacífico,66.22,48.19,2021-07-25
P0327,Decoración Inti Lite 40,Hogar,Decoración,Inti,55.48,44.16,2022-05-19
P0328,Vinos y licores Qori Eco 6,Bebidas,Vinos y licores,Qori,6.93,5.49,2022-09-03
P0329,Shampoo Qori Clásico 86,Cuidado Personal,Shampoo,Qori,29.94,18.55,2022-07-30
P0330,Cuidado dental Killa Lite 56,Cuidado Personal,Cuidado dental,Killa,89.55,70.37,2020-04-23
P0331,Energizantes Yachay Familiar 31,Bebidas,Energizantes,Yachay,6.59,4.28,2022-11-22
P0332,Televisores Nuna Clásico 27,Electrohogar,Televisores,Nuna,190.63,121.76,2022-10-11
P0333,Lavavajillas Runa Premium 67,Limpieza,Lavavajillas,Runa,9.32,7.06,2019-07-26
P0334,Menaje Pacífico Lite 52,Hogar,Menaje,Pacífico,29.33,22.5,2022-03-26
P0335,Muebles pequeños Misti Premium 62,Hogar,Muebles pequeños,Misti,68.34,43.1,2020-01-24
P0336,Textil hogar Misti Lite 62,Hogar,Textil hogar,Misti,14.86,8.98,2019-06-05
P0337,Muebles pequeños Misti Familiar 65,Hogar,Muebles pequeños,Misti,270.57,179.01,2020-02-18
P0338,Fideos y pastas Runa Eco 61,Abarrotes,Fideos y pastas,Runa,9.91,7.92,2021-05-17
P0339,Cuidado de piel Andes Familiar 90,Cuidado Personal,Cuidado de piel,Andes,6.45,5.14,2020-12-24
P0340,Microondas Misti Familiar 69,Electrohogar,Microondas,Misti,2771.97,1766.03,2020-08-24
P0341,Papel higiénico Puma Norte Max 11,Limpieza,Papel higiénico,Puma Norte,9.09,5.67,2022-01-19
P0342,Ambientadores Andes Clásico 97,Limpieza,Ambientadores,Andes,9.03,5.87,2021-02-14
P0343,Fideos y pastas Tika Premium 84,Abarrotes,Fideos y pastas,Tika,13.42,10.42,2019-05-14
P0344,Arroz y menestras Nuna Clásico 54,Abarrotes,Arroz y menestras,Nuna,2.62,1.74,2021-05-02
P0345,Televisores Tika Lite 59,Electrohogar,Televisores,Tika,787.74,547.84,2019-03-20
P0346,Harinas y azúcar Tika Premium 21,Abarrotes,Harinas y azúcar,Tika,7.37,5.05,2022-07-10
P0347,Licuadoras Inti Premium 2,Electrohogar,Licuadoras,Inti,93.48,67.74,2022-10-11
P0348,Snacks Pacífico Premium 84,Abarrotes,Snacks,Pacífico,4.19,3.18,2022-03-01
P0349,Cervezas Qori Max 3,Bebidas,Cervezas,Qori,9.28,6.06,2022-04-05
P0350,Fideos y pastas Sami Lite 57,Abarrotes,Fideos y pastas,Sami,4.35,2.88,2021-08-31
P0351,Cuidado dental Chaska Lite 68,Cuidado Personal,Cuidado dental,Chaska,52.48,36.07,2022-01-30
P0352,Jugos Pacífico Clásico 95,Bebidas,Jugos,Pacífico,5.74,3.72,2021-05-20
P0353,Papel higiénico Runa Eco 68,Limpieza,Papel higiénico,Runa,17.82,13.58,2018-11-26
P0354,Jugos Yachay Familiar 78,Bebidas,Jugos,Yachay,4.99,3.19,2020-03-11
P0355,Papel higiénico Inti Clásico 98,Limpieza,Papel higiénico,Inti,10.11,6.88,2021-10-17
P0356,Jabones Runa Premium 19,Cuidado Personal,Jabones,Runa,8.32,6.23,2019-02-22
P0357,Aceites Andes Eco 38,Abarrotes,Aceites,Andes,6.46,5.07,2021-10-31
P0358,Lavado Sami Max 53,Electrohogar,Lavado,Sami,100.92,75.07,2022-12-29
P0359,Licuadoras Puma Norte Lite 48,Electrohogar,Licuadoras,Puma Norte,167.58,114.44,2018-08-10
P0360,Organización Kusi Familiar 43,Hogar,Organización,Kusi,14.26,11.14,2019-07-01
P0361,Energizantes Wayra Eco 67,Bebidas,Energizantes,Wayra,5.92,4.27,2022-04-27
P0362,Muebles pequeños Kusi Max 26,Hogar,Muebles pequeños,Kusi,125.11,96.39,2021-02-17
P0363,Harinas y azúcar Yachay Max 53,Abarrotes,Harinas y azúcar,Yachay,4.36,2.98,2021-02-01
P0364,Menaje Yachay Familiar 52,Hogar,Menaje,Yachay,18.18,13.08,2022-10-19
P0365,Aceites Qori Clásico 5,Abarrotes,Aceites,Qori,54.9,41.8,2020-03-24
P0366,Vinos y licores Qori Clásico 51,Bebidas,Vinos y licores,Qori,4.38,2.72,2022-10-31
P0367,Harinas y azúcar Puma Norte Eco 49,Abarrotes,Harinas y azúcar,Puma Norte,37.56,28.08,2020-11-01
P0368,Lavado Wayra Eco 76,Electrohogar,Lavado,Wayra,449.82,274.18,2021-05-28
P0369,Ambientadores Andes Max 7,Limpieza,Ambientadores,Andes,19.71,13.82,2019-03-27
P0370,Muebles pequeños Runa Clásico 5,Hogar,Muebles pequeños,Runa,56.04,40.89,2020-10-19
P0371,Fideos y pastas Puma Norte Familiar 49,Abarrotes,Fideos y pastas,,3.78,2.47,2018-11-28
P0372,Textil hogar Qori Clásico 23,Hogar,Textil hogar,Qori,229.94,155.71,2021-10-20
P0373,Cervezas Wayra Premium 66,Bebidas,Cervezas,Wayra,23.82,16.19,2020-01-07
P0374,Harinas y azúcar Yachay Familiar 42,Abarrotes,Harinas y azúcar,Yachay,3.66,2.51,2019-09-11
P0375,Shampoo Qori Lite 58,Cuidado Personal,Shampoo,Qori,89.6,67.23,2018-09-17
P0376,Arroz y menestras Nuna Max 68,Abarrotes,Arroz y menestras,Nuna,30.31,18.57,2021-03-05
P0377,Ambientadores Wayra Lite 11,Limpieza,Ambientadores,Wayra,37.2,28.23,2022-01-17
P0378,Desinfectantes Tika Premium 65,Limpieza,Desinfectantes,Tika,51.2,31.37,2019-04-02
P0379,Aceites Andes Premium 12,Abarrotes,Aceites,Andes,3.3,2.59,2019-11-02
P0380,Desinfectantes Tika Eco 41,Limpieza,Desinfectantes,Tika,55.81,38.8,2020-12-11
P0381,Energizantes Misti Eco 42,Bebidas,Energizantes,Misti,10.68,8.13,2020-02-15
P0382,Aguas Runa Familiar 46,Bebidas,Aguas,Runa,3.98,2.73,2022-11-16
P0383,Muebles pequeños Qori Eco 95,Hogar,Muebles pequeños,Qori,27.46,21.44,2019-05-16
P0384,Jabones Killa Premium 84,Cuidado Personal,Jabones,Killa,7.19,4.81,2021-11-12
P0385,Conservas Misti Clásico 6,Abarrotes,Conservas,Misti,30.78,18.61,2018-07-27
P0386,Lavado Andes Max 1,Electrohogar,Lavado,Andes,170.26,133.85,2021-03-27
P0387,Cervezas Andes Max 74,Bebidas,Cervezas,Andes,12.83,8.15,2020-09-02
P0388,Shampoo Andes Premium 21,Cuidado Personal,Shampoo,Andes,7.41,5.3,2020-06-01
P0389,Cervezas Tika Clásico 78,Bebidas,Cervezas,Tika,4.35,3.15,2022-02-27
P0390,Afeitado Andes Premium 96,Cuidado Personal,Afeitado,Andes,29.94,19.37,2022-07-24
P0391,Cuidado dental Misti Max 1,Cuidado Personal,Cuidado dental,Misti,8.03,5.27,2022-11-26
P0392,Jugos Chaska Eco 48,Bebidas,Jugos,Chaska,4.55,2.74,2022-12-25
P0393,Microondas Killa Clásico 66,Electrohogar,Microondas,Killa,1364.77,971.93,2019-04-17
P0394,Cuidado dental Killa Max 72,Cuidado Personal,Cuidado dental,Killa,15.71,10.14,2020-10-31
P0395,Jabones Runa Clásico 50,Cuidado Personal,Jabones,Runa,28.97,19.8,2019-05-01
P0396,Harinas y azúcar Kusi Premium 28,Abarrotes,Harinas y azúcar,Kusi,34.76,27.61,2020-12-08
P0397,Vinos y licores Wayra Max 97,Bebidas,Vinos y licores,Wayra,41.23,32.14,2019-04-05
P0398,Aguas Andes Eco 59,Bebidas,Aguas,Andes,5.26,4.05,2022-06-29
P0399,Arroz y menestras Nuna Clásico 23,Abarrotes,Arroz y menestras,Nuna,23.73,14.92,2020-10-29
P0400,Conservas Pacífico Clásico 97,Abarrotes,Conservas,Pacífico,45.79,30.89,2022-06-21
P0401,Jabones Misti Clásico 76,Cuidado Personal,Jabones,Misti,18.25,12.45,2021-05-27
P0402,Jugos Nuna Premium 50,Bebidas,Jugos,Nuna,5.64,3.56,2018-07-15
P0403,Lavado Chaska Familiar 21,Electrohogar,Lavado,Chaska,2273.45,1669.16,2020-03-14
P0404,Arroz y menestras Chaska Premium 97,Abarrotes,Arroz y menestras,Chaska,21.64,14.39,2020-03-03
P0405,Licuadoras Misti Lite 45,Electrohogar,Licuadoras,Misti,1412.87,916.48,2019-06-30
P0406,Snacks Nuna Lite 98,Abarrotes,Snacks,Nuna,8.2,5.6,2019-03-20
P0407,Organización Wayra Eco 49,Hogar,Organización,Wayra,189.65,125.35,2021-04-03
P0408,Organización Sami Clásico 44,Hogar,Organización,Sami,48.28,29.2,2019-02-03
P0409,Cuidado dental Puma Norte Lite 97,Cuidado Personal,Cuidado dental,Puma Norte,27.34,19.55,2022-12-06
P0410,Cervezas Yachay Max 35,Bebidas,Cervezas,Yachay,8.37,5.09,2020-09-10
P0411,Snacks Puma Norte Clásico 12,Abarrotes,Snacks,Puma Norte,6.49,4.85,2022-06-08
P0412,Hervidores Sami Lite 49,Electrohogar,Hervidores,Sami,170.03,106.52,2021-10-10
P0413,Cuidado de piel Qori Familiar 87,Cuidado Personal,Cuidado de piel,Qori,20.15,13.99,2020-03-25
P0414,Arroz y menestras Inti Lite 46,Abarrotes,Arroz y menestras,Inti,15.49,10.38,2021-04-14
P0415,Shampoo Chaska Premium 52,Cuidado Personal,Shampoo,Chaska,15.64,10.41,2021-06-03
P0416,Arroz y menestras Chaska Max 62,Abarrotes,Arroz y menestras,Chaska,2.78,2.06,2020-01-30
P0417,Detergentes Andes Familiar 14,Limpieza,Detergentes,Andes,37.47,25.22,2022-08-05
P0418,Shampoo Puma Norte Lite 3,Cuidado Personal,Shampoo,Puma Norte,38.18,27.75,2019-01-25
P0419,Microondas Runa Premium 49,Electrohogar,Microondas,Runa,1199.92,753.54,2020-11-05
P0420,Vinos y licores Sami Max 57,Bebidas,Vinos y licores,Sami,8.86,5.43,2022-03-26
P0421,Harinas y azúcar Runa Premium 93,Abarrotes,Harinas y azúcar,Runa,17.8,12.48,2021-08-01
P0422,Cervezas Yachay Clásico 79,Bebidas,Cervezas,Yachay,7.78,5.3,2020-07-25
P0423,Harinas y azúcar Kusi Premium 50,Abarrotes,Harinas y azúcar,Kusi,5.58,3.89,2021-02-21
P0424,Organización Pacífico Eco 47,Hogar,Organización,Pacífico,15.95,12.63,2018-11-23
P0425,Menaje Misti Clásico 82,Hogar,Menaje,Misti,320.8,246.97,2022-01-04
P0426,Shampoo Pacífico Eco 48,Cuidado Personal,Shampoo,Pacífico,14.9,11.1,2018-12-02
P0427,Harinas y azúcar Wayra Eco 18,Abarrotes,Harinas y azúcar,Wayra,52.98,39.79,2020-09-27
P0428,Snacks Killa Premium 9,Abarrotes,Snacks,Killa,29.7,20.52,2019-12-03
P0429,Textil hogar Misti Premium 95,Hogar,Textil hogar,Misti,12.61,8.21,2021-11-23
P0430,Harinas y azúcar Misti Max 89,Abarrotes,Harinas y azúcar,Misti,11.28,8.45,2019-07-16
P0431,Aceites Pacífico Familiar 26,Abarrotes,Aceites,Pacífico,9.78,5.88,2019-12-24
P0432,Microondas Sami Premium 60,Electrohogar,Microondas,Sami,237.86,149.33,2020-10-15
P0433,Cervezas Wayra Clásico 86,Bebidas,Cervezas,Wayra,28.28,20.43,2020-01-04
P0434,Jugos Wayra Lite 25,Bebidas,Jugos,Wayra,2.4,1.83,2022-08-01
P0435,Aguas Killa Max 18,Bebidas,Aguas,Killa,29.56,18.49,2021-10-06
P0436,Jabones Yachay Eco 77,Cuidado Personal,Jabones,Yachay,15.24,11.54,2022-05-11
P0437,Lavavajillas Sami Familiar 33,Limpieza,Lavavajillas,Sami,43.69,27.58,2020-04-30
P0438,Hervidores Andes Max 48,Electrohogar,Hervidores,Andes,1262.15,998.85,2019-04-26
P0439,Detergentes Inti Clásico 10,Limpieza,Detergentes,Inti,25.43,18.59,2022-02-17
P0440,Cervezas Wayra Lite 94,Bebidas,Cervezas,Wayra,3.26,2.36,2019-07-06
P0441,Conservas Sami Eco 48,Abarrotes,Conservas,Sami,22.39,15.16,2021-08-10
P0442,Microondas Killa Familiar 58,Electrohogar,Microondas,Killa,421.86,259.02,2020-02-01
P0443,Harinas y azúcar Kusi Clásico 76,Abarrotes,Harinas y azúcar,Kusi,8.2,4.92,2022-01-17
P0444,Afeitado Qori Lite 71,Cuidado Personal,Afeitado,Qori,66.08,42.01,2020-05-11
P0445,Cuidado dental Misti Clásico 38,Cuidado Personal,Cuidado dental,Misti,65.4,42.47,2022-02-12
P0446,Muebles pequeños Puma Norte Premium 3,Hogar,Muebles pequeños,Puma Norte,42.86,29.5,2020-03-26
P0447,Aceites Killa Lite 44,Abarrotes,Aceites,,33.49,23.95,2019-03-21
P0448,Harinas y azúcar Sami Max 9,Abarrotes,Harinas y azúcar,Sami,4.8,3.58,2021-11-06
P0449,Jabones Chaska Lite 89,Cuidado Personal,Jabones,Chaska,20.73,14.96,2021-06-18
P0450,Vinos y licores Qori Clásico 15,Bebidas,Vinos y licores,Qori,18.77,12.46,2019-02-05
P0451,Aceites Puma Norte Lite 82,Abarrotes,Aceites,Puma Norte,2.9,1.96,2019-09-22
P0452,Textil hogar Tika Eco 59,Hogar,Textil hogar,Tika,120.92,79.96,2022-04-06
P0453,Lavado Wayra Premium 21,Electrohogar,Lavado,Wayra,430.65,286.63,2019-12-16
P0454,Snacks Andes Premium 47,Abarrotes,Snacks,Andes,28.55,20.76,2022-04-15
P0455,Harinas y azúcar Runa Lite 37,Abarrotes,Harinas y azúcar,Runa,9.88,6.28,2020-07-06
P0456,Refrigeración Wayra Clásico 23,Electrohogar,Refrigeración,Wayra,1210.84,796.23,2019-03-06
P0457,Jabones Qori Max 47,Cuidado Personal,Jabones,Qori,37.62,23.68,2021-04-30
P0458,Organización Chaska Premium 14,Hogar,Organización,Chaska,348.15,254.48,2019-07-29
P0459,Papel higiénico Chaska Clásico 83,Limpieza,Papel higiénico,Chaska,6.01,4.7,2022-11-15
P0460,Conservas Killa Familiar 84,Abarrotes,Conservas,Killa,13.8,9.3,2021-01-13
P0461,Fideos y pastas Pacífico Lite 62,Abarrotes,Fideos y pastas,Pacífico,4.97,3.32,2019-01-29
P0462,Energizantes Qori Eco 69,Bebidas,Energizantes,Qori,4.39,3.3,2019-11-03
P0463,Afeitado Wayra Clásico 17,Cuidado Personal,Afeitado,Wayra,83.15,62.01,2020-07-29
P0464,Fideos y pastas Yachay Familiar 8,Abarrotes,Fideos y pastas,Yachay,5.47,3.41,2020-04-27
P0465,Cervezas Nuna Clásico 84,Bebidas,Cervezas,Nuna,19.23,12.5,2018-08-16
P0466,Cervezas Chaska Eco 30,Bebidas,Cervezas,Chaska,2.23,1.62,2021-09-23
P0467,Cuidado de piel Tika Familiar 63,Cuidado Personal,Cuidado de piel,Tika,36.53,26.01,2021-07-16
P0468,Aceites Andes Lite 11,Abarrotes,Aceites,Andes,21.83,17.15,2020-01-13
P0469,Organización Pacífico Eco 58,Hogar,Organización,Pacífico,445.04,353.12,2021-07-25
P0470,Jugos Yachay Familiar 86,Bebidas,Jugos,Yachay,30.86,19.6,2022-08-27
P0471,Hervidores Wayra Max 13,Electrohogar,Hervidores,Wayra,2782.06,1791.29,2022-08-03
P0472,Lavado Qori Premium 38,Electrohogar,Lavado,Qori,2277.49,1819.44,2022-04-25
P0473,Textil hogar Tika Familiar 29,Hogar,Textil hogar,Tika,41.37,32.59,2022-10-14
P0474,Energizantes Nuna Eco 16,Bebidas,Energizantes,Nuna,4.95,3.03,2021-07-06
P0475,Hervidores Yachay Lite 9,Electrohogar,Hervidores,Yachay,960.6,590.36,2020-12-20
P0476,Snacks Kusi Premium 55,Abarrotes,Snacks,Kusi,9.69,6.41,2019-06-19
P0477,Gaseosas Misti Eco 83,Bebidas,Gaseosas,Misti,33.29,24.24,2020-02-07
P0478,Fideos y pastas Killa Familiar 35,Abarrotes,Fideos y pastas,Killa,4.84,3.71,2020-01-02
P0479,Ambientadores Pacífico Premium 51,Limpieza,Ambientadores,Pacífico,24.4,19.43,2022-08-27
P0480,Harinas y azúcar Runa Familiar 19,Abarrotes,Harinas y azúcar,Runa,49.36,38.99,2021-10-07
P0481,Organización Runa Eco 56,Hogar,Organización,Runa,468.86,321.04,2018-07-29
P0482,Snacks Chaska Familiar 77,Abarrotes,Snacks,Chaska,11.22,8.57,2021-01-09
P0483,Papel higiénico Misti Premium 64,Limpieza,Papel higiénico,Misti,8.34,6.27,2019-08-27
P0484,Lavado Chaska Clásico 16,Electrohogar,Lavado,Chaska,246.5,168.95,2020-01-08
P0485,Snacks Killa Premium 46,Abarrotes,Snacks,Killa,3.97,2.6,2021-05-29
P0486,Cuidado dental Inti Eco 71,Cuidado Personal,Cuidado dental,Inti,39.1,30.0,2020-05-19
P0487,Ambientadores Inti Eco 76,Limpieza,Ambientadores,Inti,50.32,32.77,2022-01-02
P0488,Refrigeración Sami Eco 73,Electrohogar,Refrigeración,Sami,153.99,113.23,2020-08-27
P0489,Shampoo Killa Familiar 82,Cuidado Personal,Shampoo,Killa,5.27,3.2,2022-07-03
P0490,Microondas Qori Max 82,Electrohogar,Microondas,Qori,1080.08,712.62,2020-01-16
P0491,Lavado Kusi Max 53,Electrohogar,Lavado,Kusi,1181.01,782.52,2018-09-11
P0492,Cuidado dental Yachay Eco 55,Cuidado Personal,Cuidado dental,Yachay,46.86,29.91,2019-07-06
P0493,Aguas Tika Lite 90,Bebidas,Aguas,Tika,8.13,5.45,2019-01-25
P0494,Harinas y azúcar Puma Norte Max 66,Abarrotes,Harinas y azúcar,Puma Norte,4.88,3.53,2022-05-03
P0495,Aceites Nuna Lite 47,Abarrotes,Aceites,Nuna,25.74,16.63,2019-09-23
P0496,Organización Runa Familiar 36,Hogar,Organización,Runa,14.31,10.12,2018-08-10
P0497,Jugos Nuna Eco 91,Bebidas,Jugos,Nuna,14.02,10.34,2019-06-18
P0498,Organización Misti Clásico 54,Hogar,Organización,Misti,377.63,290.41,2020-07-27
P0499,Cervezas Runa Eco 5,Bebidas,Cervezas,Runa,3.14,2.25,2019-10-07
P0500,Conservas Killa Familiar 68,Abarrotes,Conservas,Killa,10.46,6.85,2021-05-06
P0501,Aguas Runa Max 76,Bebidas,Aguas,Runa,3.57,2.68,2018-11-17
P0502,Cervezas Kusi Lite 2,Bebidas,Cervezas,Kusi,15.24,12.17,2021-08-15
P0503,Arroz y menestras Wayra Premium 7,Abarrotes,Arroz y menestras,Wayra,23.18,14.68,2020-12-08
P0504,Lavavajillas Inti Eco 84,Limpieza,Lavavajillas,Inti,24.96,18.88,2018-07-30
P0505,Lavado Pacífico Eco 67,Electrohogar,Lavado,Pacífico,225.68,177.95,2018-12-15
P0506,Aguas Pacífico Max 67,Bebidas,Aguas,Pacífico,4.95,3.31,2020-01-01
P0507,Lavavajillas Kusi Clásico 12,Limpieza,Lavavajillas,Kusi,6.55,3.94,2019-07-05
P0508,Organización Wayra Clásico 8,Hogar,Organización,Wayra,22.07,17.09,2020-08-06
P0509,Arroz y menestras Misti Eco 55,Abarrotes,Arroz y menestras,Misti,16.44,11.33,2021-03-27
P0510,Detergentes Andes Max 51,Limpieza,Detergentes,Andes,55.38,37.56,2019-04-16
P0511,Decoración Sami Max 9,Hogar,Decoración,Sami,59.57,37.85,2019-11-29
P0512,Detergentes Pacífico Premium 15,Limpieza,Detergentes,Pacífico,4.27,3.04,2021-01-23
P0513,Cuidado dental Chaska Clásico 86,Cuidado Personal,Cuidado dental,,25.9,18.27,2021-09-16
P0514,Detergentes Puma Norte Clásico 73,Limpieza,Detergentes,Puma Norte,6.04,4.32,2021-07-28
P0515,Aceites Sami Premium 45,Abarrotes,Aceites,Sami,46.35,33.43,2021-01-10
P0516,Cuidado de piel Sami Eco 77,Cuidado Personal,Cuidado de piel,Sami,21.65,13.46,2019-01-04
P0517,Menaje Sami Clásico 62,Hogar,Menaje,Sami,612.33,410.07,2019-09-27
P0518,Textil hogar Yachay Max 18,Hogar,Textil hogar,Yachay,117.8,73.51,2020-05-27
P0519,Cuidado de piel Kusi Max 34,Cuidado Personal,Cuidado de piel,Kusi,14.66,10.4,2019-05-10
P0520,Aguas Wayra Clásico 1,Bebidas,Aguas,Wayra,61.39,39.8,2021-10-23
P0521,Cuidado dental Misti Premium 63,Cuidado Personal,Cuidado dental,Misti,26.23,19.27,2022-12-12
P0522,Muebles pequeños Andes Clásico 40,Hogar,Muebles pequeños,Andes,451.73,341.43,2022-12-12
P0523,Organización Nuna Eco 64,Hogar,Organización,Nuna,168.97,121.28,2022-08-06
P0524,Aguas Wayra Clásico 79,Bebidas,Aguas,Wayra,2.85,2.21,2021-06-20
P0525,Muebles pequeños Pacífico Clásico 83,Hogar,Muebles pequeños,Pacífico,44.09,26.89,2020-01-20
P0526,Refrigeración Andes Clásico 36,Electrohogar,Refrigeración,Andes,287.29,229.83,2020-01-30
P0527,Muebles pequeños Andes Familiar 27,Hogar,Muebles pequeños,Andes,37.92,25.36,2021-03-28
P0528,Snacks Wayra Clásico 82,Abarrotes,Snacks,Wayra,30.63,21.2,2019-09-01
P0529,Muebles pequeños Inti Eco 82,Hogar,Muebles pequeños,Inti,390.33,235.37,2022-06-23
P0530,Microondas Wayra Familiar 72,Electrohogar,Microondas,Wayra,118.32,75.04,2022-04-12
P0531,Snacks Runa Max 92,Abarrotes,Snacks,Runa,48.82,38.93,2018-09-09
